rank,feasible,total_penalty,wt_Al,wt_Co,wt_Cr,wt_Mo,wt_Nb,wt_Ni,wt_Ta,wt_Ti,wt_W,creep_strength_proxy_mpa,cost_usd_per_kg,density_g_cm3,misfit_abs_pct,constraint_ni_balance_wt_pct,constraint_free_cr_at_pct_proxy,constraint_gamma_prime_pct_proxy,constraint_tcp_risk_proxy,constraint_btr_proxy_k,penalty_ni_balance_wt_pct,penalty_free_cr_at_pct_proxy,penalty_gamma_prime_pct_proxy,penalty_tcp_risk_proxy,penalty_btr_proxy_k
1,True,0.0,4.739295,4.834713,15.434052,1.032114,0.171606,71.495237,1.341151,0.364273,0.587558,447.71385,18.548779,7.818384,0.086155,71.495237,16.297489,42.205939,0.799732,45.068455,0.0,0.0,0.0,0.0,0.0
2,True,0.0,4.573152,1.654981,15.958366,3.124343,0.22839,67.645858,1.341151,3.267622,2.206136,532.464082,18.728371,7.722033,0.095033,67.645858,16.60186,57.319596,1.380632,59.499881,0.0,0.0,0.0,0.0,0.0
3,True,0.0,5.239446,10.655248,18.46026,1.032114,0.190237,62.561357,1.341151,0.364273,0.155914,500.878053,18.949009,7.676697,0.091425,62.561357,19.301311,45.966382,0.836748,43.688116,0.0,0.0,0.0,0.0,0.0
4,True,0.0,4.898891,15.438517,21.566913,0.170402,0.22839,50.878322,1.341151,3.267622,2.209791,609.524184,19.439126,7.559602,0.090361,50.878322,22.239104,59.76264,1.064063,47.696911,0.0,0.0,0.0,0.0,0.0
5,True,0.0,4.575108,1.395913,16.006441,0.223497,1.488205,71.534634,2.104356,0.436498,2.235348,465.200896,19.772886,7.905437,0.089982,71.534634,16.948928,44.614917,0.940715,58.343854,0.0,0.0,0.0,0.0,0.0
6,True,0.0,4.742471,15.438517,15.298415,0.170402,0.228236,57.136763,1.341151,3.267622,2.376423,619.428928,20.377563,7.686233,0.057065,57.136763,15.718038,58.589411,0.89039,48.279042,0.0,0.0,0.0,0.0,0.0
7,True,0.0,4.913745,19.827191,21.566913,2.782541,0.22839,45.862679,1.341151,3.267622,0.209768,628.275847,20.448171,7.511191,0.100827,45.862679,22.166477,59.874041,1.23275,51.145387,0.0,0.0,0.0,0.0,0.0
8,True,0.0,2.843395,10.630548,16.615633,0.889866,2.336617,58.66967,3.867683,3.92917,0.217419,610.961554,24.222819,7.921392,0.054431,58.66967,17.068969,57.648777,0.889923,63.412114,0.0,0.0,0.0,0.0,0.0
9,True,0.0,5.196396,10.630548,16.622313,0.889866,2.326949,57.060397,4.407384,0.637149,2.228998,620.264964,25.367975,7.860766,0.064329,57.060397,17.543077,58.595327,1.185327,71.464368,0.0,0.0,0.0,0.0,0.0
10,True,0.0,5.196396,17.419528,16.622313,0.892102,2.326949,50.266572,4.40372,0.637149,2.235271,657.510345,26.518151,7.860902,0.064446,50.266572,17.548517,58.582964,1.186353,71.487939,0.0,0.0,0.0,0.0,0.0
11,True,0.0,1.062456,3.232793,16.622313,0.889866,0.777523,66.036447,7.230841,3.930342,0.217419,578.919355,28.111691,8.346041,0.052882,66.036447,17.80355,54.869447,1.05829,59.224774,0.0,0.0,0.0,0.0,0.0
