rank,feasible,total_penalty,wt_Al,wt_Co,wt_Cr,wt_Mo,wt_Nb,wt_Ni,wt_Ta,wt_Ti,wt_W,creep_strength_proxy_mpa,cost_usd_per_kg,density_g_cm3,misfit_abs_pct,constraint_ni_balance_wt_pct,constraint_free_cr_at_pct_proxy,constraint_gamma_prime_pct_proxy,constraint_tcp_risk_proxy,constraint_btr_proxy_k,penalty_ni_balance_wt_pct,penalty_free_cr_at_pct_proxy,penalty_gamma_prime_pct_proxy,penalty_tcp_risk_proxy,penalty_btr_proxy_k
1,True,0.0,4.810937,2.755868,22.950727,0.007023,0.205149,66.193613,0.16175,0.799308,2.115625,411.673041,15.267017,7.667276,0.139016,66.193613,24.024711,41.226614,1.008552,44.192324,0.0,0.0,0.0,0.0,0.0
2,True,0.0,4.946185,0.254575,18.698909,1.565957,0.298225,71.256003,0.155863,2.80615,0.018131,492.802478,15.280042,7.526088,0.085318,71.256003,19.059312,53.556133,0.855544,43.726592,0.0,0.0,0.0,0.0,0.0
3,True,0.0,4.942455,0.542219,21.144792,0.320527,0.422201,69.00961,0.706933,2.80615,0.105113,498.009091,15.608569,7.498118,0.081633,69.00961,21.520164,55.450007,0.763558,41.019275,0.0,0.0,0.0,0.0,0.0
4,True,0.0,5.02231,3.969333,18.377741,1.565957,0.404832,67.5927,0.155863,2.80615,0.105113,519.458804,16.003295,7.522541,0.082804,67.5927,18.716707,54.180378,0.857105,44.777273,0.0,0.0,0.0,0.0,0.0
5,True,0.0,4.969583,9.318211,21.389215,0.385068,0.679854,59.214666,0.064485,3.876225,0.102694,555.938164,16.06932,7.406735,0.076883,59.214666,21.496145,59.633199,0.749508,41.78765,0.0,0.0,0.0,0.0,0.0
6,True,0.0,4.835912,9.186383,17.854596,0.385068,1.003899,62.690737,0.064485,3.876225,0.102694,557.696121,16.682372,7.477371,0.058082,62.690737,17.872428,58.792693,0.639051,44.055968,0.0,0.0,0.0,0.0,0.0
7,True,0.0,4.96922,16.221425,21.070981,0.294963,0.131247,54.362814,0.063753,2.855694,0.029903,564.173149,17.104194,7.471366,0.085588,54.362814,21.398231,53.613216,0.714803,37.33075,0.0,0.0,0.0,0.0,0.0
8,True,0.0,4.969583,16.052739,24.325567,0.351288,0.460759,47.726468,0.158031,3.876225,2.079339,597.217765,17.299321,7.432217,0.110984,47.726468,24.813354,59.83937,1.103869,47.224216,0.0,0.0,0.0,0.0,0.0
9,True,0.0,4.969583,15.978482,23.905114,0.351288,0.456517,48.115099,0.158031,3.876315,2.18957,598.021075,17.368237,7.44212,0.109452,48.115099,24.399671,59.837756,1.105427,47.580335,0.0,0.0,0.0,0.0,0.0
10,True,0.0,4.96922,16.052739,21.119415,0.286311,1.263085,53.359881,0.063753,2.855694,0.029903,572.726989,17.48518,7.467839,0.085783,53.359881,21.361911,54.179135,0.714875,45.219002,0.0,0.0,0.0,0.0,0.0
11,True,0.0,5.02231,14.810911,18.191514,1.565957,0.404832,56.93735,0.155863,2.80615,0.105113,579.288609,17.872436,7.525358,0.081687,56.93735,18.532547,54.180378,0.851286,44.777273,0.0,0.0,0.0,0.0,0.0
12,True,0.0,5.02231,17.328327,21.206143,1.565957,0.53921,51.267791,0.155863,2.809287,0.105113,591.151078,17.92788,7.479495,0.099737,51.267791,21.619426,54.265209,0.945493,45.717918,0.0,0.0,0.0,0.0,0.0
13,True,0.0,5.02231,17.328327,21.206143,1.565957,1.263952,50.546185,0.155863,2.80615,0.105113,597.181116,18.196223,7.477933,0.099774,50.546185,21.566147,54.609938,0.945493,50.791114,0.0,0.0,0.0,0.0,0.0
14,True,0.0,4.969583,16.052739,16.215854,0.351288,0.448828,55.915372,0.067733,3.876225,2.102379,613.550472,18.289052,7.552006,0.063436,55.915372,16.422625,59.528646,0.848997,47.040742,0.0,0.0,0.0,0.0,0.0
