rank,feasible,total_penalty,wt_Al,wt_Co,wt_Cr,wt_Mo,wt_Nb,wt_Ni,wt_Ta,wt_Ti,wt_W,creep_strength_proxy_mpa,cost_usd_per_kg,density_g_cm3,misfit_abs_pct,constraint_ni_balance_wt_pct,constraint_free_cr_at_pct_proxy,constraint_gamma_prime_pct_proxy,constraint_tcp_risk_proxy,constraint_btr_proxy_k,penalty_ni_balance_wt_pct,penalty_free_cr_at_pct_proxy,penalty_gamma_prime_pct_proxy,penalty_tcp_risk_proxy,penalty_btr_proxy_k
1,True,0.0,1.671821,5.101381,21.92907,3.963481,1.954779,52.084018,6.309787,3.389735,3.595929,534.95924,28.141015,8.316305,0.153669,52.084018,24.43303,53.878838,2.14081,89.742699,0.0,0.0,0.0,0.0,0.0
2,True,0.0,2.873515,15.568852,18.609544,4.167507,1.469081,52.173013,0.2366,1.755847,3.146041,419.31443,20.23483,8.059502,0.190655,52.173013,20.13801,32.961064,1.707435,73.437935,0.0,0.0,0.0,0.0,0.0
3,True,0.0,1.217436,11.863675,24.78144,3.148797,1.506716,45.449,7.856613,2.813528,1.362794,566.410168,30.625097,8.343991,0.141348,45.449,27.711509,52.226297,1.873756,78.625203,0.0,0.0,0.0,0.0,0.0
4,True,0.0,2.111761,0.6118,18.667619,0.203567,2.26676,69.175053,3.049634,3.780281,0.133525,480.937219,20.799846,7.979672,0.081575,69.175053,19.388343,48.528187,0.787576,58.248195,0.0,0.0,0.0,0.0,0.0
5,True,0.0,1.243748,14.444217,23.858192,2.921349,1.396913,45.0,7.289102,2.582125,1.264354,559.625122,30.159787,8.347143,0.140399,45.0,26.588362,49.15174,1.765496,75.467231,0.0,0.0,0.0,0.0,0.0
6,True,0.0,2.828816,11.863721,18.609544,4.167507,1.470123,57.679923,0.2366,1.786212,1.357553,404.189125,19.216983,7.995169,0.174999,57.679923,19.899118,32.797152,1.46897,67.185527,0.0,0.0,0.0,0.0,0.0
7,True,0.0,1.523781,14.568098,22.289404,3.160766,1.562977,45.0,6.361129,2.70322,2.830625,553.831466,29.317156,8.350819,0.150502,45.0,24.868899,48.884272,1.918811,81.213347,0.0,0.0,0.0,0.0,0.0
8,True,0.0,1.232456,11.863675,21.766881,3.148797,1.501581,50.134631,6.129224,2.813528,1.409227,527.077687,28.254753,8.336283,0.140682,50.134631,24.063598,46.506439,1.699373,75.297001,0.0,0.0,0.0,0.0,0.0
9,True,0.0,2.111761,0.400129,18.672969,0.079336,2.26676,72.081401,0.31043,3.788686,0.288527,385.873389,16.325657,7.893239,0.108927,72.081401,19.20747,39.330653,0.650745,52.81537,0.0,0.0,0.0,0.0,0.0
10,True,0.0,2.828816,11.863675,18.473258,4.167507,1.470123,50.357417,7.651135,1.830515,1.357553,616.157803,31.244944,8.250885,0.099504,50.357417,20.32866,58.070411,1.835438,82.014598,0.0,0.0,0.0,0.0,0.0
11,True,0.0,2.873515,15.991435,18.604194,4.167507,1.469081,49.166615,2.979343,1.745609,3.002701,503.829743,24.719742,8.149114,0.162028,49.166615,20.33426,42.160239,1.825293,78.421732,0.0,0.0,0.0,0.0,0.0
12,True,0.0,1.267583,15.621864,21.766881,3.147823,1.505281,46.338589,6.129224,2.813528,1.409227,549.741997,28.889306,8.329968,0.140039,46.338589,24.056787,46.77174,1.69921,75.319002,0.0,0.0,0.0,0.0,0.0
13,True,0.0,1.671821,5.101381,21.92907,3.963481,2.508873,51.529924,6.309787,3.389735,3.595929,539.669039,28.34603,8.314648,0.153669,51.529924,24.395844,54.155885,2.14081,93.621357,0.0,0.0,0.0,0.0,0.0
